HOR	0	1
ABCDEyEFGH	647.845	7.247	769.200	312.538	679.004	689.553
ABCDEyEFkH	8.529	0.060	16.394	7.272	4.339	5.866
ABCFGH	1.924	0.056	11.158	2.306	1.110	1.924
ABCH	8.363	0.441	1.694	0.616	12.704	3.622
ABCyEDEFGH	0.018	0.0	17.928	1.764	0.011	2.392
ABCyEFGH	7.388	0.008	135.145	25.219	6.446	30.281
ABCyEyEFGH	11.919	0.0	45.372	34.430	5.778	10.379
ABEF	7.584	3.301	8.064	1.932	2.159	3.613
ABEFGH	41814.320	38952.995	33421.774	34957.007	71479.919	42277.316
ABEFGhCDEFGH	1.872	5.367	3.358	3.010	3.831	4.027
ABEFkH	4.485	0.260	8.585	1.234	8.751	6.376
ABEyCDEFGH	5.493	2.431	4.433	4.649	7.945	5.097
ABEyCDEyEyEFGH	8.050	0.0	5.456	0.555	8.835	3.856
ABEyEFGH	4.203	0.350	24.696	16.322	2.008	2.366
ABEyEz	3.084	4.611	0.253	4.275	1.665	3.624
ABEz	298.215	481.300	476.701	609.808	631.370	645.215
ADEFGH	12.517	1.138	128.858	32.924	0.804	0.785
ADEFGO	0.0	0.0	0.0	0.0	0.033	5.460
AFGH	26.697	15.058	5.413	7.870	12.865	16.638
AFGO	0.000	0.000	0.0	0.010	0.309	6.072
AH	0.433	0.097	11.674	1.753	0.926	0.921
AfGH	16.192	17.979	11.103	14.760	19.362	16.468
AyEFGH	125.230	89.037	1.624	31.982	55.779	83.508
AyEz	7.352	0.404	25.837	4.599	15.911	11.118
